seller_id,seller_name,seller_type,seller_city,seller_state,seller_country,join_date,rating,batch_date
44,Gonzales-Aguirre Trading,Business,Cebu City,Cebu,Philippines,2022-08-09,4.18,full_load
45,Santos Store,Individual,Muntinlupa,Metro Manila,Philippines,2021-05-25,3.71,full_load
46,Walsh Store,Individual,Cebu City,Cebu,Philippines,2025-07-03,4.01,full_load
47,Davis Inc Trading,Business,Marikina,Metro Manila,Philippines,2021-01-06,4.12,full_load
48,"Watson, Torres and Gomez Trading",Business,Marikina,Metro Manila,Philippines,2022-05-18,4.72,full_load
49,"Clark, Holmes and Beltran Official",Brand,Marikina,Metro Manila,Philippines,2022-06-16,4.44,full_load
50,Lewis Store,Individual,Bacolod,Negros Occidental,Philippines,2024-05-21,3.59,full_load
51,Long Store,Individual,Baguio,Benguet,Philippines,2024-11-22,4.43,full_load
52,Russell-Walker Official,Brand,Las Piñas,Metro Manila,Philippines,2022-12-07,4.15,full_load
53,"Harris, Morgan and Smith Official",Brand,Makati,Metro Manila,Philippines,2025-04-08,4.03,full_load
54,"Smith, Caldwell and Hart Trading",Business,Cagayan de Oro,Misamis Oriental,Philippines,2022-09-26,4.54,full_load
55,Lambert-Smith Trading,Business,Taguig,Metro Manila,Philippines,2021-09-16,4.71,full_load
56,Brandt-Chambers Trading,Business,Baguio,Benguet,Philippines,2025-08-12,4.67,full_load
57,Schaefer Store,Individual,Marikina,Metro Manila,Philippines,2024-11-14,3.96,full_load
58,"Williams, Moore and Parrish Trading",Business,Manila,Metro Manila,Philippines,2023-08-05,4.18,full_load
59,Martinez Store,Individual,Las Piñas,Metro Manila,Philippines,2021-08-20,4.43,full_load
60,Sherman Group Trading,Business,Taguig,Metro Manila,Philippines,2022-05-03,4.69,full_load
61,Ramirez LLC Trading,Business,Taguig,Metro Manila,Philippines,2022-04-19,4.11,full_load
62,"Robinson, Livingston and Jensen Official",Brand,Manila,Metro Manila,Philippines,2022-11-27,4.23,full_load
63,"Gross, Reilly and Davis Trading",Business,Cebu City,Cebu,Philippines,2021-07-16,3.86,full_load
64,Love Store,Individual,Baguio,Benguet,Philippines,2021-03-03,3.82,full_load
65,Houston-Griffith Trading,Business,Davao City,Davao del Sur,Philippines,2021-10-23,4.63,full_load
66,Campbell LLC Trading,Business,Bacolod,Negros Occidental,Philippines,2024-02-25,4.84,full_load
67,Jones Store,Individual,Muntinlupa,Metro Manila,Philippines,2025-07-31,4.27,full_load
68,"Smith, Cisneros and Sims Official",Brand,Baguio,Benguet,Philippines,2023-04-08,4.7,full_load
69,"Richardson, Wang and Cooper Trading",Business,Taguig,Metro Manila,Philippines,2024-12-22,4.44,full_load
70,"Gates, Scott and Alexander Official",Brand,Cagayan de Oro,Misamis Oriental,Philippines,2021-12-29,4.04,full_load
71,Montoya-Rodriguez Trading,Business,Iloilo City,Iloilo,Philippines,2023-12-31,4.44,full_load
72,Foster-Nicholson Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2025-07-15,4.92,full_load
73,"Reyes, Conley and Ewing Trading",Business,Bacolod,Negros Occidental,Philippines,2023-07-18,4.29,full_load
74,Mann Store,Individual,Cebu City,Cebu,Philippines,2021-02-21,4.93,full_load
75,"Yates, Baker and Brown Trading",Business,Parañaque,Metro Manila,Philippines,2024-03-16,3.25,full_load
76,"Thompson, Tucker and Clark Trading",Business,Cebu City,Cebu,Philippines,2022-06-15,4.63,full_load
77,"Bryant, Gomez and Thomas Trading",Business,Cagayan de Oro,Misamis Oriental,Philippines,2021-10-20,4.33,full_load
78,Ellis Inc Trading,Business,Makati,Metro Manila,Philippines,2023-08-16,4.18,full_load
79,Jordan LLC Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2022-05-20,4.34,full_load
80,Glass Store,Individual,Cebu City,Cebu,Philippines,2023-04-28,3.5,full_load
81,Ramirez and Sons Trading,Business,Bacolod,Negros Occidental,Philippines,2021-01-29,4.21,full_load
82,"Ray, Lopez and Hughes Trading",Business,Las Piñas,Metro Manila,Philippines,2022-03-01,4.44,full_load
83,"Morgan, Hernandez and Larson Trading",Business,Cagayan de Oro,Misamis Oriental,Philippines,2025-01-16,4.89,full_load
84,Wright and Sons Trading,Business,Makati,Metro Manila,Philippines,2023-08-05,4.09,full_load
85,Brown-Nguyen Trading,Business,Manila,Metro Manila,Philippines,2024-05-16,3.98,full_load
86,Rogers-Ruiz Trading,Business,Iloilo City,Iloilo,Philippines,2025-09-15,4.1,full_load
87,Hamilton Store,Individual,Las Piñas,Metro Manila,Philippines,2025-03-28,4.67,full_load
88,"Campbell, Larson and Fischer Trading",Business,Pasig,Metro Manila,Philippines,2025-11-09,4.43,full_load
89,Schwartz Store,Individual,Pasig,Metro Manila,Philippines,2025-05-01,4.09,full_load
90,"Stanton, Morris and Miller Official",Brand,Taguig,Metro Manila,Philippines,2021-12-16,4.51,full_load
91,Garcia Store,Individual,Davao City,Davao del Sur,Philippines,2024-11-24,4.34,full_load
92,Downs Store,Individual,Baguio,Benguet,Philippines,2025-12-12,4.69,full_load
93,Rodriguez Store,Individual,Baguio,Benguet,Philippines,2024-03-29,4.02,full_load
94,Boyd Store,Individual,Pasig,Metro Manila,Philippines,2023-06-21,4.17,full_load
95,"Smith, Leach and Palmer Trading",Business,Cebu City,Cebu,Philippines,2022-06-02,4.14,full_load
96,"Mckenzie, Cardenas and Bauer Official",Brand,Bacolod,Negros Occidental,Philippines,2021-01-31,3.71,full_load
97,Williams Store,Individual,Cebu City,Cebu,Philippines,2021-04-08,4.42,full_load
98,Reynolds Store,Individual,Makati,Metro Manila,Philippines,2024-11-26,4.4,full_load
99,Black Group Trading,Business,Quezon City,Metro Manila,Philippines,2025-09-14,4.3,full_load
100,English Store,Individual,Cagayan de Oro,Misamis Oriental,Philippines,2025-08-19,4.21,full_load
101,Snyder-Lyons Trading,Business,Makati,Metro Manila,Philippines,2023-02-24,3.73,full_load
102,Flores Store,Individual,Cebu City,Cebu,Philippines,2022-11-19,4.13,full_load
103,Anderson-Johnson Trading,Business,Quezon City,Metro Manila,Philippines,2022-08-14,4.16,full_load
104,Watkins Store,Individual,Muntinlupa,Metro Manila,Philippines,2023-08-06,3.98,full_load
105,Medina and Sons Trading,Business,Bacolod,Negros Occidental,Philippines,2025-01-11,4.24,full_load
106,Burns-Brock Trading,Business,Pasig,Metro Manila,Philippines,2024-07-16,4.46,full_load
107,Mathews Store,Individual,Muntinlupa,Metro Manila,Philippines,2024-10-21,5.0,full_load
108,"Johnson, Shaw and Cobb Official",Brand,Las Piñas,Metro Manila,Philippines,2021-05-27,4.37,full_load
109,Reyes Store,Individual,Quezon City,Metro Manila,Philippines,2023-12-08,4.4,full_load
110,"Gray, Smith and Olson Trading",Business,Parañaque,Metro Manila,Philippines,2024-06-07,4.27,full_load
111,Conley-Christian Trading,Business,Manila,Metro Manila,Philippines,2021-02-23,3.53,full_load
112,Padilla-Mahoney Trading,Business,Marikina,Metro Manila,Philippines,2021-10-29,4.29,full_load
113,Arias-Roberts Trading,Business,Baguio,Benguet,Philippines,2022-08-19,4.32,full_load
114,Walker Ltd Official,Brand,Muntinlupa,Metro Manila,Philippines,2023-07-04,5.0,full_load
115,Lopez-Mack Trading,Business,Davao City,Davao del Sur,Philippines,2025-04-11,4.22,full_load
116,Goodman-Barker Official,Brand,Las Piñas,Metro Manila,Philippines,2021-03-02,4.42,full_load
117,Cochran-Berry Trading,Business,Bacolod,Negros Occidental,Philippines,2022-05-19,4.29,full_load
118,Higgins Store,Individual,Davao City,Davao del Sur,Philippines,2022-09-26,3.83,full_load
119,"Miller, Reyes and Adams Official",Brand,Davao City,Davao del Sur,Philippines,2022-01-17,4.76,full_load
120,Myers Store,Individual,Quezon City,Metro Manila,Philippines,2023-07-08,4.6,full_load
121,Ingram Store,Individual,Pasig,Metro Manila,Philippines,2021-05-15,4.62,full_load
122,Jones Store,Individual,Davao City,Davao del Sur,Philippines,2023-12-02,3.94,full_load
123,Williams PLC Official,Brand,Davao City,Davao del Sur,Philippines,2024-03-08,4.86,full_load
124,Miller Inc Official,Brand,Makati,Metro Manila,Philippines,2024-03-19,3.74,full_load
125,Berry Store,Individual,Makati,Metro Manila,Philippines,2023-12-06,4.53,full_load
126,Crawford PLC Official,Brand,Cagayan de Oro,Misamis Oriental,Philippines,2022-03-02,5.0,full_load
127,Smith Group Trading,Business,Cebu City,Cebu,Philippines,2022-07-27,3.9,full_load
128,Ford Store,Individual,Muntinlupa,Metro Manila,Philippines,2021-01-25,4.07,full_load
129,Douglas Store,Individual,Cebu City,Cebu,Philippines,2023-07-06,4.34,full_load
130,Daniels Store,Individual,Iloilo City,Iloilo,Philippines,2023-08-13,4.1,full_load
131,Jones Store,Individual,Iloilo City,Iloilo,Philippines,2023-06-16,3.68,full_load
132,Lewis LLC Trading,Business,Bacolod,Negros Occidental,Philippines,2022-11-24,4.33,full_load
133,Walton Store,Individual,Cagayan de Oro,Misamis Oriental,Philippines,2021-10-27,3.88,full_load
134,"Cabrera, Anthony and Wallace Trading",Business,Muntinlupa,Metro Manila,Philippines,2023-08-30,4.49,full_load
135,"Peterson, Yang and Scott Official",Brand,Quezon City,Metro Manila,Philippines,2022-03-03,3.93,full_load
136,"Bates, Garcia and Santos Trading",Business,Pasig,Metro Manila,Philippines,2022-11-09,4.92,full_load
137,Horn-Cox Trading,Business,Manila,Metro Manila,Philippines,2021-06-25,3.99,full_load
138,Simpson and Sons Trading,Business,Quezon City,Metro Manila,Philippines,2022-07-29,4.17,full_load
139,"Williams, Harrison and Roberts Official",Brand,Manila,Metro Manila,Philippines,2025-01-07,4.63,full_load
140,Fox Group Trading,Business,Taguig,Metro Manila,Philippines,2024-12-10,3.81,full_load
141,Underwood-Bennett Trading,Business,Iloilo City,Iloilo,Philippines,2023-04-22,4.39,full_load
142,Duffy-Cobb Trading,Business,Baguio,Benguet,Philippines,2023-12-13,4.82,full_load
143,Gaines Ltd Trading,Business,Baguio,Benguet,Philippines,2023-09-26,3.66,full_load
144,Taylor Store,Individual,Baguio,Benguet,Philippines,2025-12-21,4.37,full_load
145,Garcia Store,Individual,Bacolod,Negros Occidental,Philippines,2023-12-12,4.4,full_load
146,Conner Store,Individual,Makati,Metro Manila,Philippines,2021-12-26,4.61,full_load
147,"Fowler, Hendricks and Campbell Trading",Business,Baguio,Benguet,Philippines,2021-09-19,3.81,full_load
148,Bell Store,Individual,Iloilo City,Iloilo,Philippines,2021-06-12,3.77,full_load
149,"Hansen, Flynn and Long Trading",Business,Baguio,Benguet,Philippines,2021-10-16,4.51,full_load
150,Anderson-Ross Trading,Business,Pasig,Metro Manila,Philippines,2023-04-17,4.42,full_load
151,"Pearson, Lynn and Roberts Trading",Business,Iloilo City,Iloilo,Philippines,2022-10-30,4.4,full_load
152,Hernandez Store,Individual,Cebu City,Cebu,Philippines,2025-07-02,4.44,full_load
153,Whitney Store,Individual,Parañaque,Metro Manila,Philippines,2024-12-04,4.03,full_load
154,Richardson Group Trading,Business,Manila,Metro Manila,Philippines,2025-11-10,4.39,full_load
155,Robles Store,Individual,Iloilo City,Iloilo,Philippines,2022-09-24,4.42,full_load
156,Bradley Store,Individual,Quezon City,Metro Manila,Philippines,2025-05-06,4.01,full_load
157,Richardson Store,Individual,Baguio,Benguet,Philippines,2022-01-23,5.0,full_load
158,"Thompson, Terry and Price Trading",Business,Baguio,Benguet,Philippines,2021-08-02,4.49,full_load
159,Elliott Store,Individual,Parañaque,Metro Manila,Philippines,2025-06-08,3.82,full_load
160,"Reyes, Walsh and Hicks Trading",Business,Marikina,Metro Manila,Philippines,2021-04-27,4.56,full_load
161,Bass-Smith Trading,Business,Baguio,Benguet,Philippines,2022-06-28,3.91,full_load
162,Waters Ltd Trading,Business,Las Piñas,Metro Manila,Philippines,2022-06-25,4.61,full_load
163,"Pena, Williams and Smith Trading",Business,Iloilo City,Iloilo,Philippines,2021-01-30,4.76,full_load
164,Miller Store,Individual,Pasig,Metro Manila,Philippines,2021-07-14,3.97,full_load
165,Adams Store,Individual,Cebu City,Cebu,Philippines,2023-08-08,4.69,full_load
166,"Browning, Leach and Farley Official",Brand,Davao City,Davao del Sur,Philippines,2022-10-23,4.47,full_load
167,Robinson and Sons Trading,Business,Marikina,Metro Manila,Philippines,2025-02-08,4.63,full_load
168,Powell Store,Individual,Las Piñas,Metro Manila,Philippines,2025-05-10,5.0,full_load
169,Williams-Allen Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2025-01-26,4.2,full_load
170,Lane Store,Individual,Taguig,Metro Manila,Philippines,2024-03-31,4.0,full_load
171,"Johnson, Wagner and Smith Trading",Business,Iloilo City,Iloilo,Philippines,2024-10-07,3.94,full_load
172,Dunlap-Anthony Official,Brand,Parañaque,Metro Manila,Philippines,2024-05-19,3.97,full_load
173,Harrington Group Official,Brand,Cagayan de Oro,Misamis Oriental,Philippines,2022-11-29,4.27,full_load
174,Maldonado Store,Individual,Taguig,Metro Manila,Philippines,2025-11-24,4.44,full_load
175,Hernandez and Sons Trading,Business,Pasig,Metro Manila,Philippines,2024-08-28,4.41,full_load
176,Harris Store,Individual,Pasig,Metro Manila,Philippines,2025-11-22,4.63,full_load
177,Landry and Sons Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2021-12-15,4.31,full_load
178,"Richmond, Baker and Perez Trading",Business,Quezon City,Metro Manila,Philippines,2023-11-24,4.88,full_load
179,"Decker, Thornton and Berry Trading",Business,Iloilo City,Iloilo,Philippines,2025-07-09,4.19,full_load
180,Jones PLC Official,Brand,Marikina,Metro Manila,Philippines,2023-11-24,5.0,full_load
181,"Miller, Lopez and Hayes Trading",Business,Makati,Metro Manila,Philippines,2025-08-06,4.55,full_load
182,"Blair, Mahoney and Wilson Trading",Business,Cagayan de Oro,Misamis Oriental,Philippines,2023-06-22,3.96,full_load
183,Morse Store,Individual,Marikina,Metro Manila,Philippines,2023-07-05,3.87,full_load
184,Gibson-Smith Trading,Business,Davao City,Davao del Sur,Philippines,2025-05-18,4.49,full_load
185,Lewis Store,Individual,Las Piñas,Metro Manila,Philippines,2024-11-23,4.21,full_load
186,Griffin-Marshall Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2025-10-10,4.59,full_load
187,Howard Ltd Official,Brand,Marikina,Metro Manila,Philippines,2025-03-04,4.49,full_load
188,Petersen-Drake Trading,Business,Cebu City,Cebu,Philippines,2022-01-28,4.27,full_load
189,"Walker, Lewis and Jones Official",Brand,Baguio,Benguet,Philippines,2021-06-09,3.96,full_load
190,Lopez Store,Individual,Makati,Metro Manila,Philippines,2025-12-19,3.69,full_load
191,Hall Inc Trading,Business,Iloilo City,Iloilo,Philippines,2021-08-18,4.12,full_load
192,Garcia Store,Individual,Muntinlupa,Metro Manila,Philippines,2025-08-07,4.64,full_load
193,Barton PLC Official,Brand,Taguig,Metro Manila,Philippines,2024-12-06,4.39,full_load
194,Harvey-Lucas Trading,Business,Quezon City,Metro Manila,Philippines,2025-07-02,3.8,full_load
195,"Kim, Adams and Powell Official",Brand,Pasig,Metro Manila,Philippines,2021-11-04,4.37,full_load
196,Hunt-Franklin Trading,Business,Las Piñas,Metro Manila,Philippines,2022-10-03,4.45,full_load
197,Hines and Sons Trading,Business,Davao City,Davao del Sur,Philippines,2022-05-12,3.95,full_load
198,White-Henderson Official,Brand,Baguio,Benguet,Philippines,2021-11-22,4.36,full_load
199,Keith-Anderson Trading,Business,Manila,Metro Manila,Philippines,2021-04-03,4.32,full_load
200,"Sosa, Griffith and Edwards Trading",Business,Taguig,Metro Manila,Philippines,2024-09-11,3.84,full_load
