order_id,customer_id,order_date,order_status,shipping_address_city,shipping_address_state,shipping_address_country,shipping_method,order_total,discount_amount,tax_amount,shipping_fee,batch_date
50414,824,2026-07-14 07:04:03,delivered,Cebu City,Cebu,Philippines,Standard,13564.07,2267.15,1445.83,69.65,2026-07-14
50415,4376,2026-07-14 04:36:31,delivered,Quezon City,Metro Manila,Philippines,Express,16868.73,843.49,1785.52,203.91,2026-07-14
50416,1035,2026-07-14 23:13:26,cancelled,Iloilo City,Iloilo,Philippines,Express,106928.12,59.38,11430.63,242.26,2026-07-14
50417,4703,2026-07-14 10:21:08,delivered,Iloilo City,Iloilo,Philippines,Standard,35810.2,7148.05,3824.59,114.04,2026-07-14
50418,421,2026-07-14 09:11:32,cancelled,Iloilo City,Iloilo,Philippines,Express,74574.55,12846.14,7963.81,245.67,2026-07-14
50419,3283,2026-07-14 17:54:14,shipped,Bacolod,Negros Occidental,Philippines,Standard,31414.12,1342.03,3358.23,70.61,2026-07-14
50420,4611,2026-07-14 11:03:44,shipped,Taguig,Metro Manila,Philippines,Standard,52426.28,0.0,5608.86,76.96,2026-07-14
50421,3410,2026-07-14 22:04:31,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Express,2064.34,0.0,196.47,230.65,2026-07-14
50422,3117,2026-07-14 16:24:09,cancelled,Pasig,Metro Manila,Philippines,Standard,4347.6,413.58,459.19,61.86,2026-07-14
50423,5088,2026-07-14 02:11:34,delivered,Parañaque,Metro Manila,Philippines,Same Day,23774.23,725.84,2510.9,339.15,2026-07-14
50424,1703,2026-07-14 22:46:27,delivered,Bacolod,Negros Occidental,Philippines,Standard,30123.99,0.0,3216.99,98.72,2026-07-14
50425,1424,2026-07-14 20:05:50,shipped,Quezon City,Metro Manila,Philippines,Standard,142813.82,633.55,15291.51,93.05,2026-07-14
50426,4865,2026-07-14 17:06:32,delivered,Taguig,Metro Manila,Philippines,Express,111917.75,8658.46,11971.11,187.38,2026-07-14
50427,3720,2026-07-14 02:35:29,delivered,Marikina,Metro Manila,Philippines,Express,51943.79,118.25,5542.23,216.3,2026-07-14
50428,4832,2026-07-14 07:12:08,delivered,Baguio,Benguet,Philippines,Standard,1995.62,0.0,203.23,98.79,2026-07-14
50429,2177,2026-07-14 05:10:43,shipped,Makati,Metro Manila,Philippines,Standard,21459.97,493.99,2291.23,75.16,2026-07-14
50430,4663,2026-07-14 10:30:28,delivered,Iloilo City,Iloilo,Philippines,Express,11325.85,1153.95,1189.34,225.31,2026-07-14
50431,2231,2026-07-14 18:13:17,delivered,Iloilo City,Iloilo,Philippines,Standard,16875.3,1045.09,1798.88,85.79,2026-07-14
50432,3540,2026-07-14 11:44:07,delivered,Quezon City,Metro Manila,Philippines,Standard,63338.45,7785.66,6776.03,95.5,2026-07-14
50433,4713,2026-07-14 21:22:35,returned,Las Piñas,Metro Manila,Philippines,Standard,5611.31,0.0,590.59,99.14,2026-07-14
50434,1436,2026-07-14 17:07:49,delivered,Iloilo City,Iloilo,Philippines,Standard,20983.69,1141.16,2236.22,112.3,2026-07-14
50435,4796,2026-07-14 15:52:12,delivered,Iloilo City,Iloilo,Philippines,Standard,111744.74,81.06,11964.48,76.29,2026-07-14
50436,3346,2026-07-14 12:08:07,delivered,Manila,Metro Manila,Philippines,Standard,7502.0,453.21,794.09,90.48,2026-07-14
50437,4059,2026-07-14 10:29:37,delivered,Davao City,Davao del Sur,Philippines,Standard,238.53,8.16,16.71,82.59,2026-07-14
50438,2577,2026-07-14 09:11:22,delivered,Las Piñas,Metro Manila,Philippines,Express,40910.81,1295.82,4366.45,157.25,2026-07-14
50439,10,2026-07-14 23:56:40,cancelled,Iloilo City,Iloilo,Philippines,Standard,35234.07,0.0,3765.29,91.36,2026-07-14
50440,4248,2026-07-14 13:10:19,delivered,Iloilo City,Iloilo,Philippines,Express,79831.79,116.37,8540.03,124.86,2026-07-14
50441,1668,2026-07-14 09:43:23,delivered,Marikina,Metro Manila,Philippines,Standard,12478.73,2075.92,1330.7,58.89,2026-07-14
50442,3971,2026-07-14 04:25:15,placed,Bacolod,Negros Occidental,Philippines,Express,50523.37,5233.25,5389.64,220.1,2026-07-14
50443,2546,2026-07-14 20:03:19,placed,Davao City,Davao del Sur,Philippines,Standard,5945.54,0.0,630.05,65.11,2026-07-14
50444,930,2026-07-14 16:48:02,cancelled,Bacolod,Negros Occidental,Philippines,Standard,134567.48,4400.76,14412.2,53.62,2026-07-14
50445,2391,2026-07-14 18:31:38,delivered,Davao City,Davao del Sur,Philippines,Same Day,108958.93,5880.88,11645.04,271.91,2026-07-14
50446,1997,2026-07-14 16:37:51,delivered,Davao City,Davao del Sur,Philippines,Same Day,26211.01,2380.12,2775.81,303.44,2026-07-14
50447,4164,2026-07-14 04:58:12,cancelled,Pasig,Metro Manila,Philippines,Standard,29810.61,0.0,3181.32,118.31,2026-07-14
50448,4160,2026-07-14 09:43:38,delivered,Pasig,Metro Manila,Philippines,Express,90404.08,4102.2,9668.8,161.98,2026-07-14
50449,4751,2026-07-14 17:49:38,cancelled,Iloilo City,Iloilo,Philippines,Standard,2941.42,0.0,303.83,105.66,2026-07-14
50450,2724,2026-07-14 20:05:40,delivered,Davao City,Davao del Sur,Philippines,Same Day,12649.18,347.61,1327.99,254.63,2026-07-14
50451,1546,2026-07-14 08:41:40,delivered,Taguig,Metro Manila,Philippines,Standard,162277.17,3940.26,17374.26,117.39,2026-07-14
50452,3875,2026-07-14 13:52:48,delivered,Bacolod,Negros Occidental,Philippines,Standard,5613.13,118.46,590.83,98.72,2026-07-14
50453,304,2026-07-14 04:35:47,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Express,2671.88,0.0,267.72,173.16,2026-07-14
50454,3607,2026-07-14 03:37:49,delivered,Iloilo City,Iloilo,Philippines,Express,4954.18,253.07,515.77,140.34,2026-07-14
50455,3359,2026-07-14 23:50:23,returned,Manila,Metro Manila,Philippines,Express,4139.91,426.14,421.51,205.83,2026-07-14
50456,2172,2026-07-14 12:19:35,delivered,Davao City,Davao del Sur,Philippines,Express,39075.78,3477.03,4160.53,244.13,2026-07-14
50457,4372,2026-07-14 13:50:08,returned,Bacolod,Negros Occidental,Philippines,Express,133252.81,1493.29,14256.51,192.07,2026-07-14
50458,295,2026-07-14 22:28:51,shipped,Bacolod,Negros Occidental,Philippines,Same Day,8375.12,549.67,870.41,251.33,2026-07-14
50459,741,2026-07-14 15:48:01,returned,Las Piñas,Metro Manila,Philippines,Standard,1025.08,81.0,101.8,74.92,2026-07-14
50460,2454,2026-07-14 01:03:14,placed,Las Piñas,Metro Manila,Philippines,Standard,114671.73,459.64,12280.79,51.01,2026-07-14
50461,3071,2026-07-14 15:40:50,shipped,Baguio,Benguet,Philippines,Standard,7749.48,129.02,824.6,53.22,2026-07-14
50462,1476,2026-07-14 06:11:20,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,738.39,0.0,73.45,52.85,2026-07-14
50463,1973,2026-07-14 18:07:10,cancelled,Makati,Metro Manila,Philippines,Standard,28026.87,0.0,2991.11,109.88,2026-07-14
50464,2081,2026-07-14 16:43:56,delivered,Quezon City,Metro Manila,Philippines,Same Day,1756.27,245.98,160.25,260.61,2026-07-14
50465,4478,2026-07-14 05:45:06,shipped,Cebu City,Cebu,Philippines,Standard,11670.35,210.63,1241.49,83.14,2026-07-14
50466,3476,2026-07-14 09:06:20,delivered,Pasig,Metro Manila,Philippines,Same Day,63149.03,640.62,6738.78,253.75,2026-07-14
50467,3959,2026-07-14 03:52:59,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,134149.42,13804.1,14363.03,94.46,2026-07-14
50468,2419,2026-07-14 00:47:55,returned,Bacolod,Negros Occidental,Philippines,Standard,85260.72,181.21,9126.91,76.22,2026-07-14
50469,4637,2026-07-14 01:47:08,cancelled,Parañaque,Metro Manila,Philippines,Express,21334.39,0.0,2264.25,201.36,2026-07-14
50470,2345,2026-07-14 08:22:42,delivered,Cebu City,Cebu,Philippines,Standard,7537.27,0.0,798.43,85.22,2026-07-14
50471,5087,2026-07-14 09:07:30,delivered,Parañaque,Metro Manila,Philippines,Standard,3022.69,0.0,312.08,109.95,2026-07-14
50472,323,2026-07-14 11:14:52,delivered,Quezon City,Metro Manila,Philippines,Express,129508.59,4102.87,13862.08,129.17,2026-07-14
50473,739,2026-07-14 10:44:40,delivered,Davao City,Davao del Sur,Philippines,Standard,21794.99,0.0,2325.0,94.97,2026-07-14
50474,4419,2026-07-14 13:19:13,delivered,Marikina,Metro Manila,Philippines,Express,31746.81,0.0,3388.22,123.45,2026-07-14
50475,2106,2026-07-14 17:32:36,returned,Pasig,Metro Manila,Philippines,Express,55987.62,4984.42,5977.8,194.81,2026-07-14
50476,3837,2026-07-14 02:44:29,shipped,Taguig,Metro Manila,Philippines,Same Day,6218.47,0.0,639.91,245.99,2026-07-14
50477,4566,2026-07-14 13:19:02,shipped,Davao City,Davao del Sur,Philippines,Standard,71648.81,1799.78,7667.86,82.08,2026-07-14
50478,1013,2026-07-14 16:33:29,delivered,Parañaque,Metro Manila,Philippines,Standard,6417.83,566.48,675.21,115.9,2026-07-14
50479,3044,2026-07-14 03:56:41,delivered,Iloilo City,Iloilo,Philippines,Standard,85676.7,0.0,9171.39,77.03,2026-07-14
50480,4600,2026-07-14 11:56:32,cancelled,Taguig,Metro Manila,Philippines,Standard,9372.44,1862.25,992.04,113.37,2026-07-14
50481,3804,2026-07-14 11:00:08,delivered,Manila,Metro Manila,Philippines,Standard,19380.8,719.31,2070.64,54.86,2026-07-14
50482,305,2026-07-14 11:04:53,returned,Manila,Metro Manila,Philippines,Standard,95022.9,0.0,10174.91,57.05,2026-07-14
50483,4404,2026-07-14 04:56:21,delivered,Cebu City,Cebu,Philippines,Standard,25273.66,568.39,2697.41,97.81,2026-07-14
50484,1266,2026-07-14 15:06:19,delivered,Muntinlupa,Metro Manila,Philippines,Standard,35253.25,70.56,3769.38,72.33,2026-07-14
50485,2292,2026-07-14 01:11:28,delivered,Taguig,Metro Manila,Philippines,Standard,6095.61,1158.45,647.57,51.63,2026-07-14
50486,1935,2026-07-14 13:12:17,shipped,Bacolod,Negros Occidental,Philippines,Standard,11440.16,551.94,1218.26,69.73,2026-07-14
50487,2939,2026-07-14 02:12:16,delivered,Taguig,Metro Manila,Philippines,Same Day,136176.91,15082.47,14559.64,286.92,2026-07-14
50488,3726,2026-07-14 03:20:15,delivered,Bacolod,Negros Occidental,Philippines,Standard,127358.8,7836.16,13634.72,101.45,2026-07-14
50489,2733,2026-07-14 08:52:05,returned,Las Piñas,Metro Manila,Philippines,Standard,113650.84,3079.29,12170.19,62.42,2026-07-14
50490,4541,2026-07-14 07:32:32,delivered,Muntinlupa,Metro Manila,Philippines,Standard,55956.17,1763.61,5982.52,119.34,2026-07-14
50491,1209,2026-07-14 21:41:56,placed,Muntinlupa,Metro Manila,Philippines,Same Day,34108.69,0.0,3627.7,250.15,2026-07-14
50492,4426,2026-07-14 09:07:33,delivered,Manila,Metro Manila,Philippines,Standard,13015.53,919.56,1386.61,73.86,2026-07-14
50493,2935,2026-07-14 08:39:46,delivered,Quezon City,Metro Manila,Philippines,Standard,9830.31,0.0,1040.91,115.15,2026-07-14
50494,1039,2026-07-14 15:19:36,delivered,Parañaque,Metro Manila,Philippines,Standard,11263.57,595.65,1195.82,102.56,2026-07-14
50495,2966,2026-07-14 18:41:11,delivered,Iloilo City,Iloilo,Philippines,Standard,75906.68,0.0,8121.84,102.82,2026-07-14
50496,5039,2026-07-14 01:34:43,delivered,Marikina,Metro Manila,Philippines,Standard,49087.17,719.97,5247.21,113.18,2026-07-14
50497,256,2026-07-14 02:12:52,returned,Muntinlupa,Metro Manila,Philippines,Standard,2520.26,0.0,260.88,85.37,2026-07-14
50498,885,2026-07-14 17:51:00,delivered,Iloilo City,Iloilo,Philippines,Express,8696.09,1604.84,914.41,161.61,2026-07-14
50499,2639,2026-07-14 22:08:50,shipped,Makati,Metro Manila,Philippines,Standard,78901.79,0.0,8441.69,112.69,2026-07-14
50500,4796,2026-07-14 19:57:54,delivered,Davao City,Davao del Sur,Philippines,Standard,101466.4,0.0,10863.12,77.24,2026-07-14
50501,4142,2026-07-14 22:02:34,delivered,Las Piñas,Metro Manila,Philippines,Express,110722.38,10046.7,11848.98,131.87,2026-07-14
50502,4517,2026-07-14 07:49:43,delivered,Marikina,Metro Manila,Philippines,Standard,82742.45,43.34,8852.78,116.5,2026-07-14
50503,3716,2026-07-14 14:31:02,delivered,Manila,Metro Manila,Philippines,Standard,19534.36,3027.02,2082.87,94.23,2026-07-14
50504,2089,2026-07-14 13:37:40,returned,Bacolod,Negros Occidental,Philippines,Standard,42755.51,0.0,4572.23,81.39,2026-07-14
50505,700,2026-07-14 03:23:39,delivered,Parañaque,Metro Manila,Philippines,Express,283.95,0.0,13.48,158.12,2026-07-14
50506,4558,2026-07-14 02:11:01,delivered,Baguio,Benguet,Philippines,Express,9022.59,867.72,944.48,207.43,2026-07-14
50507,3366,2026-07-14 12:52:26,cancelled,Las Piñas,Metro Manila,Philippines,Express,28317.38,0.0,3010.67,217.81,2026-07-14
50508,422,2026-07-14 10:28:20,delivered,Cebu City,Cebu,Philippines,Standard,3342.7,250.94,346.87,105.27,2026-07-14
50509,1743,2026-07-14 05:38:00,delivered,Taguig,Metro Manila,Philippines,Standard,29386.92,33.66,3139.53,84.61,2026-07-14
50510,4557,2026-07-14 13:22:56,shipped,Pasig,Metro Manila,Philippines,Express,100054.65,174.94,10699.63,191.44,2026-07-14
50511,4596,2026-07-14 22:38:10,delivered,Bacolod,Negros Occidental,Philippines,Standard,8260.54,425.07,877.07,74.56,2026-07-14
50512,2191,2026-07-14 01:03:14,delivered,Parañaque,Metro Manila,Philippines,Same Day,217183.02,0.0,23248.19,199.9,2026-07-14
50513,2876,2026-07-14 00:13:20,delivered,Makati,Metro Manila,Philippines,Standard,50323.41,3482.2,5381.8,93.28,2026-07-14
50514,252,2026-07-14 03:20:26,delivered,Taguig,Metro Manila,Philippines,Standard,22284.37,1129.29,2381.71,55.09,2026-07-14
50515,2793,2026-07-14 05:43:51,delivered,Parañaque,Metro Manila,Philippines,Express,48673.64,1751.16,5201.04,130.58,2026-07-14
50516,4650,2026-07-14 21:42:28,shipped,Quezon City,Metro Manila,Philippines,Standard,24173.42,350.97,2577.25,119.06,2026-07-14
50517,5062,2026-07-14 01:48:42,delivered,Pasig,Metro Manila,Philippines,Express,118086.91,1162.74,12634.15,168.18,2026-07-14
50518,3979,2026-07-14 22:06:10,delivered,Pasig,Metro Manila,Philippines,Express,6063.95,1078.99,623.66,243.14,2026-07-14
50519,933,2026-07-14 12:34:02,delivered,Pasig,Metro Manila,Philippines,Standard,20113.12,534.14,2146.8,76.34,2026-07-14
50520,2527,2026-07-14 01:39:12,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,14702.46,0.0,1569.28,55.85,2026-07-14
50521,2470,2026-07-14 07:41:26,delivered,Las Piñas,Metro Manila,Philippines,Standard,108841.21,1448.31,11653.02,79.7,2026-07-14
50522,983,2026-07-14 00:16:53,delivered,Davao City,Davao del Sur,Philippines,Standard,138397.22,0.0,14816.12,113.44,2026-07-14
50523,4363,2026-07-14 08:22:41,delivered,Muntinlupa,Metro Manila,Philippines,Standard,101627.04,165.31,10879.56,84.48,2026-07-14
50524,347,2026-07-14 15:52:56,placed,Marikina,Metro Manila,Philippines,Express,15887.36,364.55,1688.58,127.32,2026-07-14
50525,4717,2026-07-14 15:37:47,delivered,Parañaque,Metro Manila,Philippines,Standard,9445.02,130.03,1005.73,58.23,2026-07-14
50526,3319,2026-07-14 00:45:33,returned,Makati,Metro Manila,Philippines,Express,80670.62,0.0,8621.38,204.4,2026-07-14
50527,2965,2026-07-14 03:12:31,delivered,Manila,Metro Manila,Philippines,Standard,122244.99,14997.64,13085.1,117.35,2026-07-14
50528,3281,2026-07-14 19:04:36,shipped,Muntinlupa,Metro Manila,Philippines,Express,531.16,0.0,38.83,168.73,2026-07-14
50529,1816,2026-07-14 12:07:35,delivered,Manila,Metro Manila,Philippines,Standard,6809.07,612.18,717.67,110.8,2026-07-14
50530,4347,2026-07-14 18:34:00,delivered,Las Piñas,Metro Manila,Philippines,Standard,153412.17,3544.75,16424.39,117.89,2026-07-14
50531,1210,2026-07-14 08:36:08,shipped,Pasig,Metro Manila,Philippines,Standard,16892.37,0.0,1804.22,53.02,2026-07-14
50532,1253,2026-07-14 23:51:58,shipped,Las Piñas,Metro Manila,Philippines,Standard,77100.16,15813.83,8254.82,55.17,2026-07-14
50533,4619,2026-07-14 21:05:52,delivered,Marikina,Metro Manila,Philippines,Express,56601.15,517.91,6038.05,246.01,2026-07-14
50534,2590,2026-07-14 05:29:46,delivered,Iloilo City,Iloilo,Philippines,Standard,19239.21,2519.64,2051.27,94.06,2026-07-14
50535,2251,2026-07-14 21:31:58,shipped,Baguio,Benguet,Philippines,Standard,5370.0,567.2,566.59,81.82,2026-07-14
50536,3703,2026-07-14 01:22:09,shipped,Muntinlupa,Metro Manila,Philippines,Standard,299.37,0.0,22.01,93.93,2026-07-14
50537,740,2026-07-14 22:23:30,delivered,Davao City,Davao del Sur,Philippines,Standard,51598.66,0.0,5518.69,90.9,2026-07-14
