return_id,order_id,order_item_id,return_date,return_reason,refund_amount,refund_status,refund_date,batch_date
60,363,1107,2025-07-09 06:42:29,Damaged item,1812.36,approved,2025-07-12 06:42:29,full_load
61,372,1132,2023-02-01 14:13:16,Changed mind,21709.9,approved,2023-02-08 14:13:16,full_load
62,378,1148,2023-12-02 22:50:00,Changed mind,9102.3,rejected,2023-12-09 22:50:00,full_load
63,378,1149,2023-12-03 22:50:00,Late delivery,2947.38,approved,2023-12-09 22:50:00,full_load
64,382,1163,2025-05-02 07:30:56,Late delivery,2647.57,approved,2025-05-03 07:30:56,full_load
65,382,1162,2025-05-13 07:30:56,Wrong item,19719.26,approved,2025-05-20 07:30:56,full_load
66,384,1166,2023-03-10 14:44:13,Changed mind,4702.39,processed,2023-03-14 14:44:13,full_load
67,385,1169,2025-04-18 10:24:51,Changed mind,18063.7,approved,2025-04-22 10:24:51,full_load
68,405,1227,2025-08-05 08:12:39,Missing parts,13132.32,approved,2025-08-08 08:12:39,full_load
69,409,1236,2024-07-31 12:53:14,Wrong item,3616.53,approved,2024-08-04 12:53:14,full_load
70,409,1237,2024-08-12 12:53:14,Changed mind,11693.19,approved,2024-08-16 12:53:14,full_load
71,415,1260,2025-10-16 22:54:35,Missing parts,12295.41,approved,2025-10-19 22:54:35,full_load
72,415,1259,2025-10-17 22:54:35,Damaged item,2347.62,processed,2025-10-24 22:54:35,full_load
73,434,1317,2024-10-09 01:29:53,Changed mind,1051.5,approved,2024-10-11 01:29:53,full_load
74,439,1332,2024-02-14 23:52:53,Changed mind,2136.23,rejected,2024-02-17 23:52:53,full_load
75,439,1330,2024-02-20 23:52:53,Late delivery,5111.64,processed,2024-02-25 23:52:53,full_load
76,464,1409,2023-05-16 02:16:05,Wrong item,25999.14,processed,2023-05-21 02:16:05,full_load
77,475,1440,2023-11-27 21:33:00,Changed mind,2240.82,approved,2023-12-04 21:33:00,full_load
78,479,1447,2024-08-19 12:36:58,Wrong item,3902.65,processed,2024-08-22 12:36:58,full_load
79,482,1459,2023-04-29 11:45:40,Damaged item,258.2,approved,2023-05-04 11:45:40,full_load
80,482,1458,2023-05-08 11:45:40,Changed mind,1430.1,processed,2023-05-09 11:45:40,full_load
81,488,1473,2023-08-26 03:16:09,Late delivery,3323.73,processed,2023-08-31 03:16:09,full_load
82,497,1495,2024-03-17 00:25:21,Damaged item,237.4,processed,2024-03-24 00:25:21,full_load
83,500,1502,2024-02-28 14:24:15,Missing parts,4617.84,approved,2024-03-01 14:24:15,full_load
84,504,1513,2023-02-06 04:58:49,Size issue,18271.27,approved,2023-02-09 04:58:49,full_load
85,519,1558,2023-11-20 22:39:49,Wrong item,13998.21,rejected,2023-11-23 22:39:49,full_load
86,540,1614,2025-03-09 10:05:11,Missing parts,1784.48,processed,2025-03-14 10:05:11,full_load
87,556,1654,2024-09-08 01:10:20,Size issue,13727.85,approved,2024-09-11 01:10:20,full_load
88,556,1653,2024-09-05 01:10:20,Changed mind,7329.78,processed,2024-09-10 01:10:20,full_load
89,564,1680,2024-08-01 07:55:13,Size issue,1069.9,approved,2024-08-08 07:55:13,full_load
90,565,1684,2024-07-06 17:23:33,Size issue,1727.14,approved,2024-07-13 17:23:33,full_load
91,566,1687,2025-05-28 22:25:01,Damaged item,1396.41,processed,2025-06-02 22:25:01,full_load
92,573,1711,2025-02-15 22:25:11,Wrong item,3389.52,processed,2025-02-22 22:25:11,full_load
93,611,1836,2023-03-21 18:42:52,Wrong item,66765.52,processed,2023-03-27 18:42:52,full_load
94,611,1834,2023-03-18 18:42:52,Late delivery,137239.29,approved,2023-03-23 18:42:52,full_load
95,614,1843,2025-03-12 06:02:34,Size issue,27330.65,processed,2025-03-16 06:02:34,full_load
96,614,1844,2025-03-21 06:02:34,Changed mind,30963.63,approved,2025-03-25 06:02:34,full_load
97,630,1890,2025-02-27 20:15:51,Changed mind,6503.7,processed,2025-03-06 20:15:51,full_load
98,652,1944,2023-09-26 19:02:43,Late delivery,2806.77,approved,2023-10-01 19:02:43,full_load
99,655,1947,2023-04-27 22:40:37,Size issue,5677.7,processed,2023-05-01 22:40:37,full_load
100,666,1979,2025-11-22 13:28:01,Wrong item,641.02,approved,2025-11-29 13:28:01,full_load
101,666,1980,2025-11-26 13:28:01,Missing parts,10877.61,approved,2025-12-01 13:28:01,full_load
102,673,1996,2025-08-29 09:23:09,Damaged item,16089.21,approved,2025-09-03 09:23:09,full_load
103,673,1998,2025-08-28 09:23:09,Wrong item,1332.83,processed,2025-08-31 09:23:09,full_load
104,682,2012,2023-11-13 09:46:24,Late delivery,4196.31,rejected,2023-11-16 09:46:24,full_load
105,695,2049,2023-04-01 19:20:39,Wrong item,195.27,approved,2023-04-06 19:20:39,full_load
106,695,2051,2023-04-10 19:20:39,Size issue,887.49,processed,2023-04-12 19:20:39,full_load
107,702,2072,2023-08-27 20:37:32,Changed mind,1063.32,approved,2023-08-30 20:37:32,full_load
108,711,2101,2023-07-22 22:06:40,Changed mind,5316.97,processed,2023-07-23 22:06:40,full_load
109,711,2098,2023-07-17 22:06:40,Size issue,10345.08,processed,2023-07-23 22:06:40,full_load
110,725,2146,2024-10-19 12:10:41,Size issue,1489.56,processed,2024-10-20 12:10:41,full_load
111,733,2182,2023-05-11 16:05:06,Size issue,13780.86,processed,2023-05-12 16:05:06,full_load
112,751,2232,2024-11-06 22:26:42,Size issue,2985.91,approved,2024-11-07 22:26:42,full_load
113,755,2245,2024-02-14 03:46:37,Missing parts,3367.86,processed,2024-02-15 03:46:37,full_load
114,755,2246,2024-02-13 03:46:37,Damaged item,18412.86,processed,2024-02-15 03:46:37,full_load
115,756,2250,2023-02-10 05:20:22,Late delivery,28866.4,processed,2023-02-17 05:20:22,full_load
116,759,2264,2025-03-14 16:57:10,Wrong item,1798.02,approved,2025-03-18 16:57:10,full_load
117,773,2303,2025-08-07 00:31:29,Late delivery,8278.2,processed,2025-08-09 00:31:29,full_load
118,773,2305,2025-07-25 00:31:29,Wrong item,42374.92,approved,2025-07-30 00:31:29,full_load
119,782,2327,2025-07-31 09:04:09,Damaged item,1151.5,processed,2025-08-06 09:04:09,full_load
120,783,2328,2024-11-01 13:56:41,Size issue,55600.41,approved,2024-11-03 13:56:41,full_load
121,785,2336,2024-09-09 07:38:03,Size issue,1626.99,processed,2024-09-15 07:38:03,full_load
122,810,2411,2025-02-04 01:18:43,Wrong item,15065.96,approved,2025-02-05 01:18:43,full_load
123,815,2421,2025-12-22 18:03:28,Changed mind,82384.41,approved,2025-12-26 18:03:28,full_load
124,842,2498,2025-11-18 13:29:52,Wrong item,8412.62,approved,2025-11-22 13:29:52,full_load
125,842,2497,2025-11-11 13:29:52,Late delivery,1123.06,processed,2025-11-13 13:29:52,full_load
126,855,2531,2025-12-11 22:39:03,Changed mind,25119.98,approved,2025-12-16 22:39:03,full_load
127,866,2563,2025-06-22 12:00:39,Size issue,11931.67,approved,2025-06-29 12:00:39,full_load
128,866,2562,2025-06-10 12:00:39,Size issue,40047.09,approved,2025-06-17 12:00:39,full_load
129,872,2576,2025-08-13 20:08:51,Wrong item,89577.6,approved,2025-08-16 20:08:51,full_load
130,879,2593,2023-06-01 03:18:33,Wrong item,712.2,rejected,2023-06-03 03:18:33,full_load
131,897,2638,2023-01-26 03:37:16,Wrong item,1241.76,processed,2023-01-28 03:37:16,full_load
132,897,2637,2023-01-25 03:37:16,Wrong item,12623.43,approved,2023-01-29 03:37:16,full_load
133,911,2683,2024-01-30 08:26:24,Wrong item,10541.11,processed,2024-02-06 08:26:24,full_load
134,937,2759,2024-08-08 15:21:43,Wrong item,30593.0,processed,2024-08-11 15:21:43,full_load
135,946,2788,2023-05-20 05:21:15,Missing parts,854.47,approved,2023-05-25 05:21:15,full_load
136,952,2811,2024-10-10 11:14:01,Size issue,14067.9,approved,2024-10-13 11:14:01,full_load
137,962,2839,2024-09-27 11:46:16,Damaged item,500.34,approved,2024-09-28 11:46:16,full_load
138,963,2840,2023-03-07 18:49:45,Damaged item,10367.78,approved,2023-03-11 18:49:45,full_load
139,963,2841,2023-03-10 18:49:45,Damaged item,419.7,rejected,2023-03-12 18:49:45,full_load
140,979,2893,2025-01-12 02:15:03,Missing parts,17801.83,approved,2025-01-13 02:15:03,full_load
141,986,2916,2025-05-02 12:46:23,Changed mind,9596.19,approved,2025-05-06 12:46:23,full_load
142,986,2915,2025-04-27 12:46:23,Late delivery,951.18,processed,2025-05-01 12:46:23,full_load
143,994,2939,2024-03-03 18:34:44,Wrong item,770.95,processed,2024-03-06 18:34:44,full_load
144,998,2946,2025-02-28 22:16:09,Wrong item,3621.72,rejected,2025-03-02 22:16:09,full_load
145,1000,2951,2023-09-12 15:30:44,Changed mind,4846.23,approved,2023-09-16 15:30:44,full_load
146,1007,2965,2026-01-18 23:50:36,Wrong item,1245.41,processed,2026-01-19 23:50:36,full_load
147,1020,2998,2025-03-12 17:07:28,Size issue,6503.22,processed,2025-03-13 17:07:28,full_load
148,1020,2997,2025-03-07 17:07:28,Missing parts,4124.61,processed,2025-03-09 17:07:28,full_load
149,1028,3027,2023-01-31 12:56:22,Size issue,11783.95,approved,2023-02-04 12:56:22,full_load
150,1063,3123,2023-09-16 23:27:04,Missing parts,52182.8,processed,2023-09-23 23:27:04,full_load
151,1063,3121,2023-09-07 23:27:04,Late delivery,187.56,processed,2023-09-13 23:27:04,full_load
152,1074,3156,2023-08-12 04:20:35,Changed mind,16186.95,approved,2023-08-16 04:20:35,full_load
153,1078,3167,2025-03-21 21:27:49,Late delivery,2689.56,approved,2025-03-22 21:27:49,full_load
154,1078,3168,2025-03-13 21:27:49,Missing parts,49995.51,approved,2025-03-18 21:27:49,full_load
155,1079,3173,2023-10-02 23:30:16,Late delivery,24095.63,approved,2023-10-09 23:30:16,full_load
156,1100,3239,2025-12-30 06:27:16,Late delivery,861.9,approved,2026-01-02 06:27:16,full_load
157,1100,3240,2025-12-31 06:27:16,Changed mind,6828.23,processed,2026-01-02 06:27:16,full_load
158,1120,3291,2024-12-08 12:49:20,Missing parts,5783.44,processed,2024-12-14 12:49:20,full_load
159,1148,3382,2025-02-24 19:26:38,Missing parts,551.76,approved,2025-02-26 19:26:38,full_load
160,1148,3383,2025-03-01 19:26:38,Changed mind,4736.4,approved,2025-03-05 19:26:38,full_load
161,1162,3429,2025-07-28 18:33:46,Missing parts,2929.06,rejected,2025-07-29 18:33:46,full_load
162,1166,3444,2024-04-16 14:40:00,Damaged item,11248.24,approved,2024-04-18 14:40:00,full_load
163,1172,3461,2023-01-25 05:55:53,Late delivery,14832.09,approved,2023-02-01 05:55:53,full_load
164,1172,3462,2023-01-15 05:55:53,Changed mind,3146.93,approved,2023-01-17 05:55:53,full_load
165,1173,3465,2023-03-06 12:54:03,Size issue,1703.99,approved,2023-03-12 12:54:03,full_load
166,1173,3464,2023-02-26 12:54:03,Wrong item,4923.36,approved,2023-02-27 12:54:03,full_load
167,1177,3478,2025-08-10 16:00:27,Late delivery,1751.13,processed,2025-08-13 16:00:27,full_load
168,1182,3499,2025-06-06 06:04:52,Changed mind,256.7,processed,2025-06-07 06:04:52,full_load
169,1189,3523,2023-11-08 23:40:01,Missing parts,397.69,approved,2023-11-12 23:40:01,full_load
170,1189,3522,2023-11-11 23:40:01,Wrong item,1295.01,processed,2023-11-12 23:40:01,full_load
171,1192,3528,2023-10-02 06:11:29,Size issue,10809.89,approved,2023-10-04 06:11:29,full_load
172,1207,3571,2025-03-06 19:22:51,Damaged item,12303.74,approved,2025-03-08 19:22:51,full_load
173,1211,3585,2023-09-03 10:45:08,Damaged item,768.08,approved,2023-09-09 10:45:08,full_load
174,1219,3605,2023-12-26 20:02:36,Wrong item,37299.16,processed,2024-01-01 20:02:36,full_load
175,1219,3604,2023-12-18 20:02:36,Damaged item,1027.78,approved,2023-12-22 20:02:36,full_load
176,1222,3613,2023-05-07 04:17:11,Damaged item,5288.16,approved,2023-05-10 04:17:11,full_load
177,1242,3672,2023-10-14 08:36:08,Missing parts,454.42,approved,2023-10-16 08:36:08,full_load
178,1261,3730,2023-06-01 12:22:41,Wrong item,576.29,processed,2023-06-08 12:22:41,full_load
179,1261,3733,2023-05-30 12:22:41,Damaged item,541.94,approved,2023-05-31 12:22:41,full_load
180,1266,3742,2023-11-04 06:45:40,Missing parts,5434.37,approved,2023-11-11 06:45:40,full_load
181,1271,3758,2025-06-01 23:23:30,Wrong item,1075.34,approved,2025-06-03 23:23:30,full_load
182,1272,3761,2025-10-29 21:02:58,Missing parts,35559.54,approved,2025-11-03 21:02:58,full_load
183,1272,3759,2025-10-16 21:02:58,Late delivery,1190.36,processed,2025-10-18 21:02:58,full_load
184,1274,3764,2024-03-17 13:32:44,Wrong item,876.62,approved,2024-03-23 13:32:44,full_load
185,1277,3774,2023-07-26 08:21:48,Missing parts,13693.35,approved,2023-07-29 08:21:48,full_load
186,1277,3775,2023-07-24 08:21:48,Changed mind,16245.02,approved,2023-07-26 08:21:48,full_load
187,1292,3818,2024-09-01 16:46:05,Size issue,6133.01,approved,2024-09-08 16:46:05,full_load
188,1313,3876,2025-10-26 06:54:14,Late delivery,6849.84,processed,2025-10-29 06:54:14,full_load
189,1313,3878,2025-10-25 06:54:14,Late delivery,2894.82,approved,2025-10-28 06:54:14,full_load
190,1319,3899,2025-02-23 14:52:27,Late delivery,2214.12,approved,2025-02-27 14:52:27,full_load
191,1320,3901,2024-11-07 05:05:08,Wrong item,10811.42,approved,2024-11-09 05:05:08,full_load
192,1320,3904,2024-11-07 05:05:08,Wrong item,3453.78,approved,2024-11-09 05:05:08,full_load
193,1352,3981,2023-06-07 03:44:58,Wrong item,173.66,rejected,2023-06-08 03:44:58,full_load
194,1356,3994,2024-05-05 12:47:21,Changed mind,20958.22,approved,2024-05-07 12:47:21,full_load
195,1371,4047,2023-05-24 15:22:20,Size issue,1514.29,processed,2023-05-31 15:22:20,full_load
196,1371,4048,2023-05-18 15:22:20,Late delivery,651.92,processed,2023-05-23 15:22:20,full_load
197,1374,4056,2023-07-30 04:20:35,Damaged item,42088.77,approved,2023-08-05 04:20:35,full_load
198,1374,4055,2023-07-25 04:20:35,Damaged item,823.43,approved,2023-07-27 04:20:35,full_load
199,1406,4159,2023-06-15 03:58:33,Wrong item,1892.28,approved,2023-06-19 03:58:33,full_load
200,1415,4183,2025-08-09 08:22:14,Late delivery,1239.04,approved,2025-08-16 08:22:14,full_load
201,1415,4182,2025-08-04 08:22:14,Missing parts,13743.27,approved,2025-08-05 08:22:14,full_load
202,1418,4190,2025-04-24 17:21:14,Changed mind,267.62,approved,2025-04-29 17:21:14,full_load
203,1422,4200,2025-06-14 22:28:30,Changed mind,2351.85,approved,2025-06-15 22:28:30,full_load
204,1424,4206,2025-03-09 12:08:01,Size issue,12715.42,approved,2025-03-11 12:08:01,full_load
205,1424,4205,2025-03-05 12:08:01,Late delivery,7039.83,rejected,2025-03-09 12:08:01,full_load
206,1429,4225,2025-01-13 03:26:45,Size issue,2045.98,approved,2025-01-16 03:26:45,full_load
207,1429,4223,2024-12-30 03:26:45,Late delivery,45431.03,rejected,2025-01-02 03:26:45,full_load
208,1433,4237,2023-04-25 12:53:23,Late delivery,6612.64,processed,2023-04-26 12:53:23,full_load
209,1448,4288,2023-05-17 10:19:50,Changed mind,2851.62,approved,2023-05-21 10:19:50,full_load
210,1448,4287,2023-05-31 10:19:50,Size issue,558.74,processed,2023-06-02 10:19:50,full_load
211,1452,4299,2024-02-02 15:47:02,Late delivery,1619.55,approved,2024-02-09 15:47:02,full_load
212,1464,4342,2023-04-22 04:47:45,Wrong item,22128.04,processed,2023-04-25 04:47:45,full_load
213,1466,4348,2025-07-09 00:28:44,Missing parts,4579.51,processed,2025-07-14 00:28:44,full_load
214,1472,4364,2024-05-05 12:59:30,Damaged item,3384.43,approved,2024-05-07 12:59:30,full_load
215,1511,4499,2023-10-11 19:18:50,Missing parts,1008.99,processed,2023-10-16 19:18:50,full_load
216,1511,4497,2023-10-05 19:18:50,Damaged item,12593.91,processed,2023-10-11 19:18:50,full_load
217,1528,4544,2025-08-31 02:42:53,Damaged item,32694.42,approved,2025-09-01 02:42:53,full_load
218,1538,4574,2023-06-30 12:31:10,Wrong item,80416.28,processed,2023-07-02 12:31:10,full_load
219,1538,4572,2023-06-19 12:31:10,Size issue,22713.51,approved,2023-06-24 12:31:10,full_load
220,1541,4582,2023-03-31 22:36:19,Wrong item,3932.12,processed,2023-04-02 22:36:19,full_load
221,1541,4581,2023-04-09 22:36:19,Late delivery,12815.22,processed,2023-04-14 22:36:19,full_load
222,1545,4595,2023-11-23 08:16:41,Missing parts,25738.32,approved,2023-11-28 08:16:41,full_load
223,1545,4596,2023-11-17 08:16:41,Size issue,3991.62,rejected,2023-11-20 08:16:41,full_load
224,1547,4601,2023-05-22 06:20:37,Damaged item,607.0,approved,2023-05-26 06:20:37,full_load
225,1547,4600,2023-06-03 06:20:37,Wrong item,2047.53,approved,2023-06-06 06:20:37,full_load
226,1553,4617,2023-05-01 10:40:20,Missing parts,6588.32,approved,2023-05-02 10:40:20,full_load
227,1559,4639,2025-03-08 08:19:33,Late delivery,5068.18,processed,2025-03-14 08:19:33,full_load
228,1580,4703,2024-03-17 14:58:15,Size issue,6462.24,approved,2024-03-19 14:58:15,full_load
229,1580,4702,2024-03-29 14:58:15,Late delivery,2392.38,processed,2024-04-01 14:58:15,full_load
230,1607,4779,2025-10-14 05:14:11,Late delivery,1314.12,processed,2025-10-16 05:14:11,full_load
231,1633,4858,2025-03-13 22:25:45,Late delivery,2115.06,processed,2025-03-17 22:25:45,full_load
232,1633,4859,2025-03-05 22:25:45,Wrong item,39551.08,approved,2025-03-08 22:25:45,full_load
233,1653,4914,2024-12-10 02:48:39,Missing parts,273.34,processed,2024-12-16 02:48:39,full_load
234,1653,4915,2024-12-12 02:48:39,Size issue,851.24,approved,2024-12-16 02:48:39,full_load
235,1661,4934,2023-08-10 04:31:36,Late delivery,1456.02,rejected,2023-08-16 04:31:36,full_load
236,1679,4995,2025-07-01 02:36:58,Missing parts,22758.98,processed,2025-07-08 02:36:58,full_load
237,1680,4999,2023-03-08 23:12:07,Wrong item,2120.25,approved,2023-03-11 23:12:07,full_load
238,1690,5033,2023-12-30 14:19:25,Missing parts,392.19,approved,2024-01-01 14:19:25,full_load
239,1692,5038,2023-07-24 17:32:27,Wrong item,3434.64,processed,2023-07-29 17:32:27,full_load
240,1707,5088,2024-11-18 17:59:14,Damaged item,2623.87,approved,2024-11-19 17:59:14,full_load
241,1712,5106,2025-03-22 11:46:04,Damaged item,30905.22,processed,2025-03-28 11:46:04,full_load
242,1714,5112,2024-02-04 14:04:07,Missing parts,17323.84,approved,2024-02-10 14:04:07,full_load
243,1724,5145,2023-04-15 19:40:13,Changed mind,1725.99,processed,2023-04-21 19:40:13,full_load
244,1731,5165,2025-09-29 22:19:15,Late delivery,47870.78,approved,2025-10-03 22:19:15,full_load
245,1731,5166,2025-10-09 22:19:15,Damaged item,1836.98,approved,2025-10-12 22:19:15,full_load
246,1735,5179,2026-01-10 21:14:20,Late delivery,35064.3,processed,2026-01-15 21:14:20,full_load
247,1738,5186,2023-06-21 16:49:38,Missing parts,4044.52,processed,2023-06-22 16:49:38,full_load
248,1738,5184,2023-07-04 16:49:38,Late delivery,2158.28,approved,2023-07-09 16:49:38,full_load
249,1772,5288,2025-04-26 04:33:35,Late delivery,7506.46,approved,2025-04-28 04:33:35,full_load
250,1779,5312,2024-08-02 00:16:34,Wrong item,2102.36,processed,2024-08-05 00:16:34,full_load
251,1784,5329,2025-03-22 23:59:40,Wrong item,59227.69,approved,2025-03-26 23:59:40,full_load
252,1800,5373,2023-08-10 03:52:03,Size issue,5250.28,processed,2023-08-11 03:52:03,full_load
253,1803,5379,2024-09-28 00:30:12,Late delivery,4127.22,processed,2024-10-04 00:30:12,full_load
254,1807,5396,2024-08-13 06:14:51,Size issue,17650.79,processed,2024-08-20 06:14:51,full_load
255,1807,5394,2024-08-21 06:14:51,Damaged item,5492.75,approved,2024-08-25 06:14:51,full_load
256,1815,5420,2025-08-21 19:15:31,Size issue,2896.2,processed,2025-08-26 19:15:31,full_load
257,1815,5419,2025-08-26 19:15:31,Damaged item,3553.17,processed,2025-09-01 19:15:31,full_load
258,1821,5437,2023-11-18 04:05:20,Wrong item,343.46,processed,2023-11-22 04:05:20,full_load
259,1821,5435,2023-11-19 04:05:20,Size issue,2491.72,approved,2023-11-20 04:05:20,full_load
260,1830,5460,2025-04-16 06:44:58,Wrong item,25702.13,processed,2025-04-18 06:44:58,full_load
261,1830,5459,2025-04-02 06:44:58,Wrong item,3522.24,approved,2025-04-04 06:44:58,full_load
262,1832,5466,2025-05-12 04:07:09,Missing parts,779.9,approved,2025-05-18 04:07:09,full_load
263,1832,5463,2025-05-04 04:07:09,Damaged item,5888.68,processed,2025-05-10 04:07:09,full_load
264,1839,5486,2025-06-08 15:54:56,Missing parts,2127.05,processed,2025-06-13 15:54:56,full_load
265,1843,5496,2024-01-15 20:07:48,Missing parts,18608.28,approved,2024-01-18 20:07:48,full_load
266,1846,5506,2025-09-06 18:59:21,Damaged item,476.16,processed,2025-09-07 18:59:21,full_load
267,1850,5516,2024-01-24 15:02:21,Wrong item,4364.89,approved,2024-01-28 15:02:21,full_load
268,1850,5517,2024-01-26 15:02:21,Wrong item,11634.12,approved,2024-01-31 15:02:21,full_load
269,1869,5583,2025-06-10 15:26:57,Late delivery,27383.4,processed,2025-06-16 15:26:57,full_load
270,1869,5587,2025-05-30 15:26:57,Wrong item,2857.38,processed,2025-05-31 15:26:57,full_load
271,1874,5599,2023-02-22 07:19:42,Wrong item,6703.02,processed,2023-02-24 07:19:42,full_load
272,1886,5628,2023-05-23 10:39:07,Missing parts,1228.77,processed,2023-05-30 10:39:07,full_load
